run_id,group,bike,p_number,source_file,sample_rate_hz,raw_n_rows,active_start_idx,active_end_idx,active_n_rows,active_duration_s,table_ride_time_s
G04_MTB_P2,G04,MTB,P2,G04\Sagemotion Sensor Data\g4_mtb_p2.csv,100.0,815,75,766,691,6.91,6.91
G04_MTB_P3,G04,MTB,P3,G04\Sagemotion Sensor Data\G4_MTB_P3.csv,100.0,1260,455,1023,568,5.68,5.68
G04_MTB_P4,G04,MTB,P4,G04\Sagemotion Sensor Data\G4_MTB_P4.csv,100.0,1214,505,1106,601,6.01,6.01
G05_FAT_P1,G05,FAT,P1,G05\Sagemotion Sensor Data\g5_fat_p1.csv,100.0,849,159,683,524,5.24,5.24
G05_FAT_P2,G05,FAT,P2,G05\Sagemotion Sensor Data\g5_fat_p2.csv,100.0,992,116,776,660,6.6,6.6
G05_FAT_P3,G05,FAT,P3,G05\Sagemotion Sensor Data\G5_FAT_P3.csv,100.0,1297,339,944,605,6.05,6.05
G05_FAT_P4,G05,FAT,P4,G05\Sagemotion Sensor Data\G5_FAT_P4.csv,100.0,1716,605,1253,648,6.48,6.48
G05_ISY_P1,G05,ISY,P1,G05\Sagemotion Sensor Data\g5_isy_p1.csv,100.0,1185,368,1075,707,7.07,7.07
G05_ISY_P2,G05,ISY,P2,G05\Sagemotion Sensor Data\g5_isy_p2.csv,100.0,953,215,895,680,6.8,6.8
G05_ISY_P3,G05,ISY,P3,G05\Sagemotion Sensor Data\G5_ISY_P3.csv,100.0,1552,733,1336,603,6.03,6.03
G05_ISY_P4,G05,ISY,P4,G05\Sagemotion Sensor Data\G5_ISY_P4.csv,100.0,963,170,657,487,4.87,4.87
G05_MTB_P1,G05,MTB,P1,G05\Sagemotion Sensor Data\g5_mtb_p1.csv,100.0,910,183,804,621,6.21,6.21
G05_MTB_P2,G05,MTB,P2,G05\Sagemotion Sensor Data\g5_mtb_p2.csv,100.0,911,193,828,635,6.35,6.35
G05_MTB_P3,G05,MTB,P3,G05\Sagemotion Sensor Data\G5_MTB_P3.csv,100.0,1389,477,1025,548,5.48,5.48
G05_MTB_P4,G05,MTB,P4,G05\Sagemotion Sensor Data\G5_MTB_P4.csv,100.0,1183,489,1076,587,5.87,5.87
G06_FAT_P1,G06,FAT,P1,G06\Sagemotion Sensor Data\g6_fat_p1.csv,100.0,802,0,752,752,7.52,7.52
G06_FAT_P2,G06,FAT,P2,G06\Sagemotion Sensor Data\g6_fat_p2.csv,100.0,1104,146,903,757,7.57,7.57
G06_FAT_P3,G06,FAT,P3,G06\Sagemotion Sensor Data\G6_FAT_P3.csv,100.0,1818,537,1233,696,6.96,6.96
G06_FAT_P4,G06,FAT,P4,G06\Sagemotion Sensor Data\G6_FAT_P4.csv,100.0,1491,549,1197,648,6.48,6.48
G06_ISY_P1,G06,ISY,P1,G06\Sagemotion Sensor Data\g6_isy_p1.csv,100.0,1009,186,946,760,7.6,7.6
G06_ISY_P2,G06,ISY,P2,G06\Sagemotion Sensor Data\g6_isy_p2.csv,100.0,1056,157,919,762,7.62,7.62
G06_ISY_P3,G06,ISY,P3,G06\Sagemotion Sensor Data\G6_ISY_P3.csv,100.0,1264,417,1055,638,6.38,6.38
G06_ISY_P4,G06,ISY,P4,G06\Sagemotion Sensor Data\G6_ISY_P4.csv,100.0,1352,524,1108,584,5.84,5.84
G06_MTB_P1,G06,MTB,P1,G06\Sagemotion Sensor Data\g6_mtb_p1.csv,100.0,767,171,709,538,5.38,5.38
G06_MTB_P2,G06,MTB,P2,G06\Sagemotion Sensor Data\g6_mtb_p2.csv,100.0,973,172,863,691,6.91,6.91
G06_MTB_P3,G06,MTB,P3,G06\Sagemotion Sensor Data\G6_MTB_P3.csv,100.0,2014,600,1167,567,5.67,5.67
G06_MTB_P4,G06,MTB,P4,G06\Sagemotion Sensor Data\G6_MTB_P4.csv,100.0,1155,373,914,541,5.41,5.41
