group,group_id,run_id,window_id,bike,p_number,p_order,dataset_role,pressure_bar,rider_weight_kg,table_ride_time_s,sample_rate_hz,window_start_idx,window_end_idx,window_s,acc_band_0p5_3_power_mean,acc_band_0p5_3_power_max,acc_band_0p5_3_power_min,acc_band_0p5_3_power_absdiff,acc_band_15_30_power_mean,acc_band_15_30_power_max,acc_band_15_30_power_min,acc_band_15_30_power_absdiff,acc_band_3_8_power_mean,acc_band_3_8_power_max,acc_band_3_8_power_min,acc_band_3_8_power_absdiff,acc_band_8_15_power_mean,acc_band_8_15_power_max,acc_band_8_15_power_min,acc_band_8_15_power_absdiff,acc_dom_freq_mean,acc_dom_freq_max,acc_dom_freq_min,acc_dom_freq_absdiff,acc_energy_per_s_mean,acc_energy_per_s_max,acc_energy_per_s_min,acc_energy_per_s_absdiff,acc_kurtosis_mean,acc_kurtosis_max,acc_kurtosis_min,acc_kurtosis_absdiff,acc_max_abs_mean,acc_max_abs_max,acc_max_abs_min,acc_max_abs_absdiff,acc_mean_mean,acc_mean_max,acc_mean_min,acc_mean_absdiff,acc_p95_abs_mean,acc_p95_abs_max,acc_p95_abs_min,acc_p95_abs_absdiff,acc_ptp_mean,acc_ptp_max,acc_ptp_min,acc_ptp_absdiff,acc_rms_mean,acc_rms_max,acc_rms_min,acc_rms_absdiff,acc_skew_mean,acc_skew_max,acc_skew_min,acc_skew_absdiff,acc_spectral_centroid_mean,acc_spectral_centroid_max,acc_spectral_centroid_min,acc_spectral_centroid_absdiff,acc_spectral_entropy_mean,acc_spectral_entropy_max,acc_spectral_entropy_min,acc_spectral_entropy_absdiff,acc_std_mean,acc_std_max,acc_std_min,acc_std_absdiff,gyro_band_0p5_3_power_mean,gyro_band_0p5_3_power_max,gyro_band_0p5_3_power_min,gyro_band_0p5_3_power_absdiff,gyro_band_15_30_power_mean,gyro_band_15_30_power_max,gyro_band_15_30_power_min,gyro_band_15_30_power_absdiff,gyro_band_3_8_power_mean,gyro_band_3_8_power_max,gyro_band_3_8_power_min,gyro_band_3_8_power_absdiff,gyro_band_8_15_power_mean,gyro_band_8_15_power_max,gyro_band_8_15_power_min,gyro_band_8_15_power_absdiff,gyro_dom_freq_mean,gyro_dom_freq_max,gyro_dom_freq_min,gyro_dom_freq_absdiff,gyro_energy_per_s_mean,gyro_energy_per_s_max,gyro_energy_per_s_min,gyro_energy_per_s_absdiff,gyro_kurtosis_mean,gyro_kurtosis_max,gyro_kurtosis_min,gyro_kurtosis_absdiff,gyro_max_abs_mean,gyro_max_abs_max,gyro_max_abs_min,gyro_max_abs_absdiff,gyro_mean_mean,gyro_mean_max,gyro_mean_min,gyro_mean_absdiff,gyro_p95_abs_mean,gyro_p95_abs_max,gyro_p95_abs_min,gyro_p95_abs_absdiff,gyro_ptp_mean,gyro_ptp_max,gyro_ptp_min,gyro_ptp_absdiff,gyro_rms_mean,gyro_rms_max,gyro_rms_min,gyro_rms_absdiff,gyro_skew_mean,gyro_skew_max,gyro_skew_min,gyro_skew_absdiff,gyro_spectral_centroid_mean,gyro_spectral_centroid_max,gyro_spectral_centroid_min,gyro_spectral_centroid_absdiff,gyro_spectral_entropy_mean,gyro_spectral_entropy_max,gyro_spectral_entropy_min,gyro_spectral_entropy_absdiff,gyro_std_mean,gyro_std_max,gyro_std_min,gyro_std_absdiff
G01,1,G01_FAT_P1,G01_FAT_P1_w000,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,15,115,1.0,0.03309980328322819,0.039334873585433625,0.02686473298102275,0.012470140604410873,0.13257992864311088,0.14529104405704651,0.11986881322917524,0.025422230827871276,0.49651305282856373,0.4996184187049263,0.4934076869522011,0.006210731752725185,0.33442997690044374,0.3573051978874466,0.31155475591344095,0.04575044197400563,3.0,3.0,3.0,0.0,888.0868521472446,1181.5878281879347,594.5858761065543,587.0019520813804,-0.13670767825223473,0.44136113943734934,-0.7147764959418188,1.1561376353791681,8.541795141234704,11.147736175213993,5.935854107255417,5.211882067958576,0.29641065915698317,0.6537956152404115,-0.06097429692644521,0.7147699121668567,5.31693219798821,6.144636080134533,4.4892283158418875,1.6554077642926455,14.101699533771733,17.729626167448153,10.47377290009531,7.255853267352842,2.9379181841660946,3.437423203779155,2.4384131645530345,0.9990100392261203,0.323562203532402,0.5106007685442303,0.13652363852057373,0.3740771300236566,8.130081999085709,8.158111604876167,8.102052393295251,0.05605921158091576,0.640869505274138,0.6521803014650726,0.6295587090832034,0.022621592381869116,2.906162714113791,3.374674736233368,2.4376506919942136,0.9370240442391546,0.3760780851493063,0.5654279830822637,0.18672818721634887,0.37869979586591485,0.11412422164835978,0.11555964267153003,0.11268880062518952,0.002870842046340513,0.42857288944368743,0.5873805408425687,0.2697652380448061,0.3176153027977626,0.08027794785761402,0.10975144484562822,0.05080445086959983,0.05894699397602839,3.5,6.0,1.0,5.0,3618.46727979271,4662.266796318047,2574.6677632673727,2087.5990330506747,0.22683199959674938,0.47309669559567213,-0.019432696402173377,0.4925293919978455,15.988120487635522,17.551786915736617,14.424454059534426,3.127332856202191,0.48486211289976044,0.6887688477338192,0.28095537806570164,0.40781346966811755,12.636240152865405,14.109376196724414,11.163104109006394,2.94627208771802,26.938143791718062,31.183337819789415,22.69294976364671,8.490388056142706,5.951098892638013,6.828079375869943,5.074118409406084,1.7539609664638594,0.7026266847207849,0.8567245815228448,0.5485287879187251,0.30819579360411975,5.909901416980345,7.013868172585827,4.805934661374862,2.207933511210965,0.5591805784556381,0.6216688000342112,0.496692356877065,0.12497644315714623,5.929792805872179,6.793251462854286,5.066334148890071,1.7269173139642149
G01,1,G01_FAT_P1,G01_FAT_P1_w001,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,65,165,1.0,0.35108984500188756,0.39470240980050175,0.30747728020327336,0.08722512959722839,0.11915488909059493,0.12841233415000874,0.10989744403118114,0.018514890118827607,0.37642459482500135,0.40045269026593633,0.35239649938406636,0.048056190881869965,0.15014098023802375,0.1607338553646987,0.1395481051113488,0.0211857502533499,2.0,3.0,1.0,2.0,429.6557680740382,489.22597254587333,370.085563602203,119.14040894367031,0.6720339367610668,1.1560817210336776,0.18798615248845607,0.9680955685452215,6.535496762189952,6.570391797207572,6.500601727172332,0.06979007003524007,-0.2178362742171499,0.23317390845112448,-0.6688464568854243,0.9020203653365488,4.198738540585391,4.752570004690324,3.6449070764804588,1.1076629282098653,9.460779066893396,9.60097817473303,9.320579959053763,0.28039821567926637,2.0678030633132902,2.2118453213230653,1.9237608053035156,0.28808451601954976,0.027992385369492,0.9998835798675966,-0.9438988091286126,1.9437823889962091,6.025386020079035,6.578436771977385,5.472335268180684,1.106101503796701,0.6359655797514516,0.6691207922346737,0.6028103672682296,0.06631042496644413,2.008935728532773,2.108294130943438,1.9095773261221074,0.1987168048213308,0.32769471956009333,0.3981561322032749,0.2572333069169118,0.14092282528636307,0.3085480158871446,0.505927343892702,0.11116868788158722,0.39475865601111476,0.24270709800098672,0.36638063527324904,0.11903356072872438,0.24734707454452465,0.11986938223552718,0.12367346936896101,0.11606529510209336,0.007608174266867648,2.0,2.0,2.0,0.0,1263.0771934799882,1511.9439883609743,1014.2103985990021,497.7335897619722,0.870632714048597,2.543347473650276,-0.8020820455530822,3.3454295192033583,11.682575358210622,16.402999406815,6.962151309606244,9.440848097208754,0.21700034823214673,0.22592803755901925,0.2080726589052742,0.017855378653745035,6.680739246134348,7.873304726014622,5.488173766254075,2.385130959760547,19.253040343699936,24.95732664507148,13.548754042328394,11.408572602743085,3.536519704271292,3.888372395181529,3.1846670133610546,0.7037053818204746,0.36932551859831564,0.8590527158321756,-0.12040167863554427,0.9794543944677199,9.360132104768327,12.660348983976,6.059915225560655,6.600433758415345,0.6830112546740715,0.7401234968079279,0.6258990125402152,0.1142244842677127,3.529832846007155,3.881803241465811,3.177862450548499,0.7039407909173119
G01,1,G01_FAT_P1,G01_FAT_P1_w002,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,115,215,1.0,0.26589180606440604,0.2951176498628187,0.23666596226599337,0.058451687596825314,0.12790940908731607,0.17122331000279828,0.08459550817183388,0.0866278018309644,0.3436976419924681,0.3626897901341107,0.32470549385082553,0.037984296283285146,0.2570927625195625,0.2579355107588641,0.25625001428026084,0.0016854964786032767,1.0,1.0,1.0,0.0,303.64176687169737,456.45745018103304,150.8260835623617,305.63136661867134,0.6944148230397686,1.5828756628277567,-0.19404601674821942,1.7769216795759761,5.75712341217269,7.949428798020932,3.564818026324447,4.384610771696485,0.4013590781177069,0.7195979225791137,0.0831202336563001,0.6364776889228136,3.744019005082584,5.1138441314556395,2.3741938787095287,2.739650252746111,8.315470438337973,10.468253000780454,6.162687875895493,4.305565124884961,1.6822995991006064,2.1364864852861416,1.2281127129150715,0.9083737723710701,0.5236629834446958,1.300814880698168,-0.2534889138087765,1.5543037945069447,7.247836965442314,8.097843717754113,6.397830213130516,1.7000135046235973,0.6611981238726382,0.6843380035864737,0.6380582441588027,0.04627975942767093,1.6184755096942909,2.0116543767829884,1.2252966426055933,0.7863577341773951,0.2957130523099644,0.38690592731327533,0.20452017730665348,0.18238575000662186,0.06658658260943662,0.08391411321350696,0.049259052005366274,0.034655061208140686,0.5796924167830169,0.6774155896459796,0.481969243920054,0.19544634572592556,0.05461045404906692,0.06816878526667264,0.041052122831461195,0.027116662435211443,3.5,5.0,2.0,3.0,6220.74096855234,6242.450376899743,6199.031560204936,43.41881669480699,3.615782103396779,4.291236066260663,2.9403281405328947,1.3509079257277685,30.684062004760694,32.79131876352456,28.57680524599683,4.2145135175277275,1.152415341989215,1.2807129013921328,1.024117782586297,0.25659511880583574,17.557703724198635,18.93100486919441,16.18440257920286,2.74660228999155,45.47716514687496,48.954348165639686,41.99998212811023,6.954366037529454,7.8871553984239675,7.9009179067370034,7.873392890110931,0.027525016626072762,1.5223746986017326,1.5365465876913869,1.5082028095120785,0.028343778179308332,5.274064165433543,5.351225610066656,5.19690272080043,0.1543228892662265,0.5738546708530827,0.6082927369627744,0.5394166047433911,0.06887613221938327,7.801397832507112,7.834263624386656,7.7685320406275675,0.06573158375908861
G01,1,G01_FAT_P1,G01_FAT_P1_w003,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,165,265,1.0,0.50503677733818,0.6343802640259885,0.37569329065037155,0.2586869733756169,0.10864621926303111,0.1206194548774553,0.09667298364860691,0.023946471228848396,0.2268180027666316,0.2769977897312505,0.17663821580201272,0.10035957392923778,0.15635891512269143,0.22561495909936494,0.0871028711460179,0.13851208795334702,1.0,1.0,1.0,0.0,926.0288355341158,926.1000142484716,925.95765681976,0.14235742871153434,1.0588140074182542,2.2853494588216563,-0.167721443985148,2.4530709028068043,9.92597956375121,11.72912816559861,8.12283096190381,3.6062972036947993,0.18130155996707406,0.2859298491547112,0.07667327077943692,0.20925657837527428,6.116821957089055,6.278424586496989,5.95521932768112,0.3232052588158689,15.622591898983767,16.407358968945015,14.83782482902252,1.5695341399224958,3.0430721880467066,3.043189140110209,3.0429552359832046,0.000233904127004525,0.7943200124477807,1.3376873665440867,0.25095265835147473,1.086734708192612,5.4981520980365755,6.162674020466934,4.833630175606216,1.3290438448607178,0.5451190349577016,0.5959572864243817,0.49428078349102156,0.10167650293336017,3.0358574570400774,3.042223093731408,3.029491820348747,0.012731273382661001,0.25095609870137203,0.2728108536317699,0.22910134377097421,0.043709509860795664,0.04191030357022982,0.05059508348878354,0.03322552365167609,0.017369559837107452,0.6428424944806745,0.6626747008411638,0.6230102881201853,0.039664412720978426,0.06343901803667892,0.07012117690316318,0.05675685917019468,0.013364317732968499,5.0,6.0,4.0,2.0,12619.683278765644,12997.314201210891,12242.052356320397,755.2618448904941,0.23388843514764357,0.8005215778768213,-0.3327447075815342,1.1332662854583555,33.32353471604175,36.83856779885338,29.808501633230108,7.030066165623275,3.4993294211157453,3.798048387624025,3.2006104546074656,0.5974379330165593,25.435758572226053,27.0015457444857,23.869971399966406,3.1315743445192936,45.79815330042959,50.971758828325505,40.62454777253368,10.347211055791824,11.232478619041927,11.4005763894686,11.064380848615253,0.3361955408533479,0.9688955796999787,1.0920285156154412,0.8457626437845164,0.24626587183092485,5.111438727973676,5.185867712343586,5.0370097436037655,0.14885796873982038,0.5103546692165802,0.5198104107158908,0.5008989277172696,0.01891148299862122,10.667083349995082,10.942085483579733,10.392081216410432,0.5500042671693013
G01,1,G01_FAT_P1,G01_FAT_P1_w004,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,215,315,1.0,0.29800838527978485,0.39533612322047573,0.20068064733909394,0.1946554758813818,0.07554548149775586,0.09318398497172022,0.057906978023791494,0.03527700694792872,0.3113789226330304,0.33913598678025336,0.28362185848580745,0.05551412829444591,0.3132451169444705,0.36418345868682495,0.26230677520211604,0.10187668348470891,2.0,2.0,2.0,0.0,3195.823194808946,3917.8462615301955,2473.800128087697,1444.0461334424986,3.970486619012388,7.56138202309905,0.37959121492572656,7.181790808173323,24.06371705609182,31.71636389446005,16.411070217723594,15.305293676736454,0.7808791885831222,0.8479126112297466,0.7138457659364978,0.13406684529324875,8.641629329645585,8.77748951825679,8.505769141034381,0.27172037722240816,31.63349548992087,39.757243053080614,23.509747926761122,16.247495126319492,5.61650062854452,6.259270134392823,4.973731122696217,1.2855390116966063,1.4667683791624084,2.1955307666105512,0.7380059917142657,1.4575247748962856,6.799506903485731,7.799350551228662,5.799663255742799,1.999687295485863,0.6559230163459175,0.6907837497895907,0.6210622829022444,0.06972146688734626,5.561905393128974,6.201572931040923,4.922237855217025,1.279335075823898,0.5779861485614302,0.5934573697679035,0.5625149273549569,0.030942442412946636,0.08706704000870769,0.14533863927398988,0.028795440743425493,0.11654319853056438,0.2617534317238229,0.3437160359609781,0.1797908274866677,0.1639252084743104,0.07203383138539439,0.08017218885794382,0.06389547391284496,0.016276714945098858,1.0,1.0,1.0,0.0,22760.892047380272,30039.311845644508,15482.472249116037,14556.83959652847,0.09159914773975375,0.3053198727969968,-0.1221215773174893,0.4274414501144861,39.1565265193146,50.60257658451826,27.710476454110946,22.892100130407314,-2.4708638443214346,-2.425404737078435,-2.5163229515644345,0.09091821448599946,29.171196451295597,32.69734126458931,25.64505163800188,7.052289626587431,69.18967952323267,83.96980764427053,54.40955140219481,29.560256242075724,14.887355502703638,17.331852712749583,12.442858292657695,4.888994420091889,-0.010367762014273585,0.2565367027450189,-0.27727222677356606,0.5338089295185849,4.465458183274225,5.367753226538358,3.5631631400100923,1.804590086528266,0.5172837495002767,0.5237782924518678,0.5107892065486854,0.012989085903182374,14.67619946877504,17.14821382126649,12.20418511628359,4.944028704982902
G01,1,G01_FAT_P1,G01_FAT_P1_w005,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,265,365,1.0,0.3857612047302731,0.38638095130942063,0.38514145815112555,0.0012394931582950797,0.05845692914408268,0.0656840316257479,0.05122982666241746,0.014454204963330441,0.22522921364571208,0.24637073852135774,0.20408768877006642,0.042283049751291324,0.3298625579836978,0.35780456797835763,0.30192054798903795,0.05588401998931969,1.0,1.0,1.0,0.0,3334.516852364848,4852.381851002527,1816.65185372717,3035.7299972753567,10.59370821864092,12.496964750888074,8.690451686393766,3.8065130644943075,29.398031252010753,38.01880531931653,20.777257184704975,17.241548134611552,1.5411712095060326,1.8590393792692317,1.2233030397428335,0.6357363395263982,11.115025887939371,12.747118822800083,9.48293295307866,3.264185869721423,32.39641265884133,41.48792385120374,23.30490146647891,18.18302238472483,5.614061952620613,6.965903998048298,4.262219907192929,2.7036840908553694,3.0765331210920444,3.336132107384523,2.8169341347995656,0.5191979725849576,6.18024174494852,6.199248800003505,6.1612346898935355,0.03801411010996958,0.6565888223934799,0.6671264152029915,0.6460512295839684,0.021075185619023107,5.398075958689281,6.71325488093157,4.082897036446993,2.6303578444845774,0.347607806618008,0.6202647232974088,0.07495088993860725,0.5453138333588016,0.23947935431182676,0.4356829374364748,0.04327577118717872,0.39240716624929606,0.23928172704363765,0.2464685521792312,0.2320949019080441,0.014373650271187088,0.1717449792734912,0.25416968675077695,0.08932027179620546,0.1648494149545715,4.5,8.0,1.0,7.0,8011.378172232823,10534.787898262179,5487.9684462034675,5046.819452058711,1.3895564199837558,3.081289222585177,-0.30217638261766533,3.3834656052028422,30.894875649444547,43.90694370290316,17.88280759598593,26.024136106917233,-0.17509905539618575,2.1344057354601267,-2.484603846252498,4.619009581712625,19.25769258494507,22.55592730504946,15.959457864840678,6.596469440208784,47.02398564632536,61.79720250754635,32.25076878510437,29.546433722441982,8.835996929830483,10.263911485521579,7.408082374139388,2.8558291113821905,0.49990566019763993,1.5237215356221856,-0.5239102152269057,2.0476317508490913,8.166989387490982,12.724750172956096,3.609228602025871,9.115521570930225,0.6445769315600297,0.7984182215885732,0.49073564153148624,0.307682580057087,8.509265251242127,10.039531420293313,6.97899908219094,3.060532338102373
G01,1,G01_FAT_P1,G01_FAT_P1_w006,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,315,415,1.0,0.4557517171984139,0.4712029005184172,0.44030053387841056,0.030902366640006618,0.21488349801245307,0.2664249116707435,0.16334208435416264,0.10308282731658086,0.13776192713360774,0.1782421709418263,0.09728168332538918,0.08096048761643711,0.189721754426715,0.21616186608211585,0.16328164277131413,0.05288022331080172,1.0,1.0,1.0,0.0,202.37085899680332,322.8850204192148,81.85669757439184,241.02832284482298,-0.537333245349132,-0.4339679048608147,-0.6406985858374492,0.2067306809766345,3.199289743788881,4.387623942658312,2.01095554491945,2.376668397738862,-0.1989589640625908,0.045191746550938404,-0.44310967467612,0.4883014212270584,2.8336918889659186,3.9012040291219687,1.766179748809868,2.1350242803121007,5.379599299851928,6.798769757476826,3.96042884222703,2.838340915249796,1.3508235389371945,1.7969001653381158,0.904746912536273,0.8921532528018428,-0.32910737456885747,0.02608472338940621,-0.6842994725271212,0.7103841959165275,7.396989542142745,8.064295153417335,6.7296839308681555,1.3346112225491797,0.6056971782300185,0.6090435084684458,0.6023508479915912,0.006692660476854573,1.3225130919565091,1.741408631080187,0.9036175528328311,0.837791078247356,0.07915779689667515,0.08821836774040351,0.07009722605294678,0.018121141687456724,0.17302837606596883,0.2566270479658653,0.08942970416607235,0.16719734379979292,0.6409075758486058,0.7856386541377803,0.49617649755943116,0.2894621565783492,0.10186925140683642,0.1498738642754337,0.05386463853823914,0.09600922573719456,3.0,3.0,3.0,0.0,1830.9641871105398,2658.605365811559,1003.3230084095208,1655.282357402038,-0.2820239380726941,-0.24925569224220379,-0.3147921839031844,0.06553649166098063,10.838046463880081,13.346762687225775,8.329330240534388,5.017432446691387,0.05082874195528836,0.432761007851128,-0.33110352394055126,0.7638645317916792,8.312772678627516,10.439525327649525,6.186020029605507,4.2535052980440184,18.650375309338017,22.732004984673967,14.568745634002067,8.1632593506719,4.161847003160641,5.156166566172546,3.1675274401487363,1.9886391260238097,0.04514117082589053,0.4843161123300361,-0.394033770678255,0.8783498830082911,7.9009274663866815,10.243573627957437,5.558281304815925,4.685292323141511,0.60843346483962,0.7292600372637256,0.48760689241551447,0.2416531448482111,4.14407408629863,5.137973488467925,3.1501746841293348,1.9877988043385906
G01,1,G01_FAT_P1,G01_FAT_P1_w007,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,365,465,1.0,0.26489388231719513,0.4741189291919357,0.0556688354424546,0.4184500937494811,0.17537579397936195,0.2201275720889798,0.13062401586974412,0.08950355621923567,0.42741145605837627,0.5343401882021235,0.32048272391462906,0.21385746428749441,0.130863588970296,0.1889296018613841,0.0727975760792079,0.1161320257821762,2.5,4.0,1.0,3.0,976.4800329158686,1131.6846951769237,821.2753706548136,310.40932452211007,0.27745923968981123,0.8290194643588635,-0.27410098497924107,1.1031204493381046,9.015322150468897,11.055559461967832,6.975084838969964,4.080474622997868,-0.7261784191337954,-0.3192949643377005,-1.1330618739298903,0.8137669095921898,6.688482953615949,7.498867127314792,5.878098779917107,1.6207683473976848,14.114420154382627,14.519805976807707,13.709034331957547,0.8107716448501598,3.114921201830509,3.3640521624625914,2.8657902411984266,0.4982619212641648,-0.6931320938018141,-0.11022730114114102,-1.2760368864624871,1.1658095853213462,7.0003621458756236,8.236575733958935,5.7641485577923115,2.472427176166623,0.5998616206239074,0.6186197325236761,0.5811035087241386,0.03751622379953745,3.007720664096235,3.1674939213226163,2.847947406869854,0.3195465144527625,0.6009182349121192,0.6183668951606952,0.583469574663543,0.03489732049715222,0.04825587966139661,0.06081644459819456,0.035695314724598665,0.025121129873595896,0.2783463362831186,0.3330123018987396,0.22368037066749763,0.10933193123124196,0.06961051905198118,0.09328870922199935,0.045932328881963025,0.04735638034003632,1.5,2.0,1.0,1.0,12513.655463686182,12938.848239527424,12088.46268784494,850.3855516824842,-0.7926453354331688,-0.7363825182381714,-0.8489081526281663,0.11252563438999497,25.61631262161059,25.80734737296696,25.42527787025422,0.38206950271273854,-3.4074260838587396,-2.826518327254171,-3.9883338404633077,1.1618155132091368,22.53108955041861,23.502674967882296,21.559504132954924,1.943170834927372,39.86601322078766,41.186118004055736,38.54590843751958,2.640209566536157,11.184830167849311,11.374905819182603,10.99475451651602,0.38015130266658304,-0.5360595609883643,-0.5188759108969933,-0.5532432110797353,0.03436730018274203,4.176789033233817,4.506876136517585,3.8467019299500493,0.6601742065675356,0.5131498738696406,0.5311780271423207,0.4951217205969606,0.03605630654536007,10.639001763234301,10.652777833611733,10.625225692856867,0.02755214075486556
G01,1,G01_FAT_P1,G01_FAT_P1_w008,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,415,515,1.0,0.4219914781592515,0.537125494297655,0.30685746202084796,0.23026803227680703,0.14047134903832717,0.15738347164150676,0.12355922643514756,0.033824245206359196,0.21825525134768986,0.25316111812449393,0.1833493845708858,0.06981173355360815,0.21631980192323147,0.277213704256513,0.15542589958994993,0.12178780466656305,2.0,2.0,2.0,0.0,3282.4351757487575,3534.428688703678,3030.4416627938367,503.9870259098411,4.125951073962901,7.355578055147376,0.8963240927784266,6.459253962368949,24.79591628762746,29.93296658018961,19.65886599506531,10.274100585124302,0.41639207331683453,0.9731248726424393,-0.14034072600877023,1.1134655986512096,10.807856770570668,11.19517115154886,10.420542389592475,0.7746287619563859,33.49572441729729,36.91952729456639,30.07192154002819,6.847605754538204,5.725025436284884,5.945106129165128,5.504944743404639,0.44016138576048913,1.4470350095734386,2.211792260266585,0.6822777588802917,1.5295145013862934,7.2349776067758285,8.554673829475831,5.9152813840758265,2.639392445400005,0.6513673801763717,0.6999909288504885,0.6027438315022549,0.09724709734823367,5.684038984333859,5.864922409485177,5.503155559182541,0.36176685030263656,0.24050959604952543,0.2594355425100465,0.22158364958900434,0.037851892921042185,0.10562125068100656,0.1397341377177868,0.07150836364422629,0.06822577407356052,0.45144544654443314,0.5723650024413868,0.3305258906474795,0.24183911179390727,0.19870613887393213,0.2660730704791682,0.13133920726869602,0.1347338632104722,2.5,4.0,1.0,3.0,10839.155356780013,11618.35452290615,10059.956190653877,1558.3983322522727,-0.13500862283645443,0.24193417258696082,-0.5119514182598697,0.7538855908468305,28.063837414425358,31.70752519633915,24.42014963251156,7.287375563827592,1.2875031359125522,1.9359177374002619,0.6390885344248425,1.2968292029754194,19.96572235441947,20.22852766214621,19.702917046692725,0.5256106154534841,46.26315499132892,47.86149949126457,44.66481049139327,3.1966889998712986,10.404390207440766,10.778847119662728,10.029933295218806,0.7489138244439228,0.40156901935374517,0.5761848057667767,0.22695323294071368,0.349231572826063,6.465323372392744,7.1986557915503795,5.731990953235108,1.4666648383152712,0.598331916783419,0.6500350477725663,0.5466287857942718,0.1034062619782945,10.30060738110563,10.759884342976378,9.841330419234882,0.918553923741495
G01,1,G01_FAT_P1,G01_FAT_P1_w009,FAT,P1,1,training_pool,0.4,91.0,7.5,100.0,465,565,1.0,0.21396872079269486,0.3037653725403712,0.12417206904501848,0.17959330349535274,0.20509046869408254,0.21959603491539723,0.19058490247276785,0.029011132442629373,0.25069689347689206,0.2642298078436581,0.23716397911012596,0.027065828733532166,0.32823134344160576,0.38918263548377324,0.2672800513994383,0.12190258408433496,6.5,11.0,2.0,9.0,2072.3100838496543,2691.678328645095,1452.941839054214,1238.736489590881,6.1941323577920855,10.369009282855831,2.0192554327283405,8.349753850127492,21.63919696151708,28.27700982706105,15.001384095973108,13.275625731087942,0.35416364143657986,0.9451759284572533,-0.23684864558409352,1.1820245740413469,7.940995113260589,8.20836174031158,7.673628486209599,0.5347332541019805,29.439626188905287,34.97959854392994,23.89965383388063,11.079944710049308,4.499943065371612,5.188138711180624,3.8117474195625998,1.3763912916180243,1.470647592025926,2.5428562132319303,0.39843897081992163,2.1444172424120085,9.217830924187169,9.948118548986148,8.487543299388191,1.460575249597957,0.7239339942652616,0.7467214320342926,0.7011465564962307,0.04557487553806194,4.452848955208232,5.101316080259674,3.8043818301567893,1.2969342501028849,0.32583035519928477,0.3339640931739952,0.3176966172245743,0.016267475949420906,0.1305968120532228,0.22350015516375352,0.037693468942692085,0.18580668622106145,0.3066548114536346,0.39037791034670777,0.22293171256056146,0.1674461977861463,0.23462380134779792,0.23620822508572153,0.23303937760987428,0.003168847475847253,1.5,2.0,1.0,1.0,12262.126286389754,14069.671486403624,10454.581086375885,3615.0904000277387,-0.2601969431545543,0.02817453530327718,-0.5485684216123858,0.576742956915663,26.38656802035822,27.92725039826791,24.845885642448533,3.0813647558193757,1.3637581046676615,1.782972652913216,0.9445435564221072,0.8384290964911087,21.920075467110117,23.108284100542303,20.731866833677927,2.376417266864376,45.559056266739944,47.98187854169208,43.136233991787805,4.845644549904279,11.04316459579572,11.861564604386567,10.224764587204874,1.6368000171816934,0.40015296390173016,0.6226589256930114,0.17764700211044893,0.4450119235825625,6.855543492869405,8.441056067899124,5.2700309178396845,3.1710251500594397,0.6586704636543979,0.6933619568704639,0.6239789704383317,0.06938298643213214,10.946003268728113,11.823897510299119,10.068109027157108,1.7557884831420107
