run_id,group,bike,p_number,pressure_bar,acc_band_0p5_3_power_mean,acc_band_0p5_3_power_max,acc_band_0p5_3_power_min,acc_band_0p5_3_power_absdiff,acc_band_15_30_power_mean,acc_band_15_30_power_max,acc_band_15_30_power_min,acc_band_15_30_power_absdiff,acc_band_3_8_power_mean,acc_band_3_8_power_max,acc_band_3_8_power_min,acc_band_3_8_power_absdiff,acc_band_8_15_power_mean,acc_band_8_15_power_max,acc_band_8_15_power_min,acc_band_8_15_power_absdiff,acc_dom_freq_mean,acc_dom_freq_max,acc_dom_freq_min,acc_dom_freq_absdiff,acc_energy_per_s_mean,acc_energy_per_s_max,acc_energy_per_s_min,acc_energy_per_s_absdiff,acc_kurtosis_mean,acc_kurtosis_max,acc_kurtosis_min,acc_kurtosis_absdiff,acc_max_abs_mean,acc_max_abs_max,acc_max_abs_min,acc_max_abs_absdiff,acc_mean_mean,acc_mean_max,acc_mean_min,acc_mean_absdiff,acc_p95_abs_mean,acc_p95_abs_max,acc_p95_abs_min,acc_p95_abs_absdiff,acc_ptp_mean,acc_ptp_max,acc_ptp_min,acc_ptp_absdiff,acc_rms_mean,acc_rms_max,acc_rms_min,acc_rms_absdiff,acc_skew_mean,acc_skew_max,acc_skew_min,acc_skew_absdiff,acc_spectral_centroid_mean,acc_spectral_centroid_max,acc_spectral_centroid_min,acc_spectral_centroid_absdiff,acc_spectral_entropy_mean,acc_spectral_entropy_max,acc_spectral_entropy_min,acc_spectral_entropy_absdiff,acc_std_mean,acc_std_max,acc_std_min,acc_std_absdiff,gyro_band_0p5_3_power_mean,gyro_band_0p5_3_power_max,gyro_band_0p5_3_power_min,gyro_band_0p5_3_power_absdiff,gyro_band_15_30_power_mean,gyro_band_15_30_power_max,gyro_band_15_30_power_min,gyro_band_15_30_power_absdiff,gyro_band_3_8_power_mean,gyro_band_3_8_power_max,gyro_band_3_8_power_min,gyro_band_3_8_power_absdiff,gyro_band_8_15_power_mean,gyro_band_8_15_power_max,gyro_band_8_15_power_min,gyro_band_8_15_power_absdiff,gyro_dom_freq_mean,gyro_dom_freq_max,gyro_dom_freq_min,gyro_dom_freq_absdiff,gyro_energy_per_s_mean,gyro_energy_per_s_max,gyro_energy_per_s_min,gyro_energy_per_s_absdiff,gyro_kurtosis_mean,gyro_kurtosis_max,gyro_kurtosis_min,gyro_kurtosis_absdiff,gyro_max_abs_mean,gyro_max_abs_max,gyro_max_abs_min,gyro_max_abs_absdiff,gyro_mean_mean,gyro_mean_max,gyro_mean_min,gyro_mean_absdiff,gyro_p95_abs_mean,gyro_p95_abs_max,gyro_p95_abs_min,gyro_p95_abs_absdiff,gyro_ptp_mean,gyro_ptp_max,gyro_ptp_min,gyro_ptp_absdiff,gyro_rms_mean,gyro_rms_max,gyro_rms_min,gyro_rms_absdiff,gyro_skew_mean,gyro_skew_max,gyro_skew_min,gyro_skew_absdiff,gyro_spectral_centroid_mean,gyro_spectral_centroid_max,gyro_spectral_centroid_min,gyro_spectral_centroid_absdiff,gyro_spectral_entropy_mean,gyro_spectral_entropy_max,gyro_spectral_entropy_min,gyro_spectral_entropy_absdiff,gyro_std_mean,gyro_std_max,gyro_std_min,gyro_std_absdiff,bike_FAT,bike_ISY,bike_MTB,rider_weight_kg
G01_FAT_P1,G01,FAT,P1,0.4,0.2955259918031169,0.39054168055496113,0.2186733048025436,0.0728384085970268,0.12353214908895545,0.13685168910352757,0.100880841393447,0.0314176888244942,0.35159298048465726,0.3815712402000235,0.31664103308418495,0.0535786064646306,0.2387916416302625,0.2675746075076886,0.22556725741361655,0.0520461318493911,2.0,3.0,1.0,1.0,1115.8694273021335,1350.0858996440334,933.6606623792097,512.3368752014577,0.8766144152290114,1.9341125608247065,0.010132354251654,1.8757533318361732,9.916676809100199,11.438432170406301,8.994263176611632,4.79824641982753,0.26815616873611875,0.6755278403637621,-0.10065751146760771,0.6756238005448352,6.484806653646546,7.280642413323779,5.916659053799114,1.335118809760556,15.909620312294994,17.47515456936923,15.005219654472327,5.576585439711582,3.3209483833496733,3.674337495169194,3.055560135278938,0.9002635125864564,0.6111224520637732,1.1503492302828824,0.1937381484360242,1.1262721467569792,7.117669876325726,7.931822852322998,6.038258036984681,1.3364264917600597,0.6496886140515422,0.6771018550704206,0.611936325085237,0.0459273174828664,3.2920561388971255,3.67085039082153,3.037571640675412,0.8573253047825702,0.32106761002744943,0.3925310297582751,0.22534249667998923,0.040780701390918855,0.09634414534485705,0.13298673094398888,0.04276474036683395,0.08312441557553979,0.4400091679940602,0.5369788873477295,0.3001455643461428,0.1542879724010118,0.115843541903634,0.1257220009404526,0.09596016808290045,0.02481490032082715,2.75,3.0,1.0,1.0,9425.266764506418,11076.571210584165,8129.493875429406,1334.977329628955,0.2303602173721964,0.6368091367362467,-0.3084842832604249,0.8177179974789364,27.49205583001678,30.07409272993035,25.122886935071694,4.0686978977673265,0.8186387274444876,1.5318427771526744,0.46002195624527203,0.6806512324041193,19.61170746968227,21.392227483597836,17.943659812947793,2.846437188854785,45.51811070680745,47.921689016478325,39.58522810502663,7.558812694100677,9.620193568635624,10.521379302592155,8.951663092664868,0.8140832066492898,0.4507373397756925,0.8578886486775101,0.20230011752558125,0.4502834867174801,5.895693569071983,7.037257118510278,4.921472202489314,2.134723412476531,0.5887913338989741,0.628170226107192,0.5251029056460383,0.07191612291129695,9.404936316173877,10.346154626952522,8.804931229931224,0.9072682129555827,1.0,0.0,0.0,91.0
G01_FAT_P2,G01,FAT,P2,0.8,0.22626917878681518,0.27050053644702954,0.20168861623299167,0.049812940756704505,0.14912866291914473,0.1830087800577485,0.12961824044907755,0.027010470648507,0.3299427245224123,0.3606583028230591,0.28653756758382776,0.0456683913368306,0.2780700315932534,0.32084013867729144,0.21039009686961763,0.0659104784588589,2.5,3.5,1.0,2.0,1961.9723672561113,2656.2915935282617,1267.6531409839608,1395.2490605536616,4.9572362403606185,7.180408205181888,1.8619735040841938,4.007741130855967,16.43546705351195,21.31111882780533,11.559815279218569,9.751303548586762,0.6509034309845719,0.8344919991532558,0.37882029457365396,0.6065934697540734,7.780396038116906,8.994023441930644,6.3130113906156655,2.4272548076274725,23.203150781485803,28.411934171502736,18.1659280948545,10.417566780033868,4.35638041698887,5.152671537463487,3.560089296514254,1.633880402136812,1.7035400771442242,2.2513597791691238,1.0150957235001838,1.0065021775219813,7.893042697162558,8.541951957567129,7.406605797085891,1.185591087350367,0.6829114032373356,0.6899778999766015,0.6657756398874797,0.03137376735404295,4.285315142661963,5.06627172464668,3.504358560677246,1.5602203747627978,0.42492408964070416,0.5002656410631806,0.30506631790904293,0.11364664112965264,0.0787208100551115,0.11213721919167845,0.032294425127378595,0.055182158451590246,0.4309505047276029,0.5216846153480041,0.31349018381281674,0.16397559124619515,0.0898180779598153,0.1030914742389015,0.0809394586365859,0.022675229238292252,2.0,2.5,1.0,0.5,8744.247209839621,10345.806329310384,7590.490976653908,2138.5968556731686,0.4693565788423856,1.1376587096065534,-0.34491738106850733,1.1053659605627424,26.97706176758734,28.316615017307114,25.712691309651618,2.6445612873810584,0.983652383830445,2.117698334205842,0.27976316140039303,1.0785279430100192,20.018519085501453,22.015194989994455,17.690888186583226,3.4272345942461024,41.70681995826348,43.891123567360886,39.71225172942808,4.311102925109726,9.329883265971212,10.16944439921922,8.710914503997017,1.1820256497622843,0.6743532261387633,1.117032255022981,0.197193785045074,0.7003601399629439,5.360865346178653,6.2872228987602075,4.322171502169606,1.925521769374432,0.5682144073355289,0.5982168484840193,0.5028273501954224,0.08725947338485565,9.10292396234943,9.962404885595923,8.53888303858231,1.321725384021856,1.0,0.0,0.0,91.0
G01_FAT_P3,G01,FAT,P3,0.8,0.1626283219713242,0.2197426201551374,0.1288394282337842,0.06757778747508,0.241422191719482,0.2674491016959111,0.2189978949478657,0.0520538199528581,0.2573484544474102,0.3047446157332512,0.2320091683961566,0.1116777606877347,0.292545460951251,0.3358663668364419,0.2659888011863392,0.0566642147531822,5.0,7.0,1.0,4.0,5997.949083905507,8099.4832056933,3608.7210606012072,3630.364585217208,6.92442052961164,10.59083934425978,3.1030065789581247,5.392445879147672,41.65064151107497,53.63085704703158,28.59916294064085,20.60202354191104,1.5405348728537285,1.602763170668808,1.2632234079331368,0.4232951248311944,12.289867233429778,13.480795376254289,11.166261067124832,3.715333530315764,50.949473053748434,62.09987841088687,39.36318997640221,22.142689216871105,7.663392919744913,8.999712887472189,6.007263154383373,2.1993097335427843,2.1414661044918737,2.7609256234985584,1.522006585485189,0.8280010672327704,9.53752031622747,10.485970221547422,9.107150470942532,1.6246423372152528,0.7364431463992833,0.7526096588003759,0.7161651908686292,0.0405559110613082,7.509569052869784,8.807770349877769,5.873171965682148,2.1313977912915405,0.338482277178908,0.4371037533775482,0.2272345919423471,0.1381965351560115,0.1384895268711358,0.2315514081356128,0.0455901443920062,0.1536656192223932,0.402296021280631,0.4396393395506059,0.3225885862974688,0.0893297606778222,0.156216154466867,0.1877055031436645,0.1184722251710709,0.0701187859555848,2.5,4.0,1.0,1.0,22479.913013481884,25404.24820752161,12233.66469170348,11537.712332850278,0.7407185200184061,1.6918767198641511,-0.1168045551861691,1.90231639969149,46.12485628265772,53.46202336576541,32.5210873214683,22.259178638695136,1.4469053458530412,2.532214710056767,1.1608254324615597,1.330731273867717,27.83930294402014,32.98887442258642,23.524240454771046,8.685895661561648,68.272123063969,77.66230709360909,53.15486456206371,23.37122745041117,14.464301301828362,15.938710176021653,11.06058980873239,5.113330437439024,0.8226678478013733,1.1180862921747587,0.5082164887730538,0.9698743966048048,7.282054891141193,8.529072700233657,5.153848451105859,2.113907433148245,0.6307454205306096,0.6879554523262111,0.573535388735008,0.0771145936549293,14.410416116807133,15.55958530370318,10.900210866749353,4.825302802118414,1.0,0.0,0.0,100.0
G01_FAT_P4,G01,FAT,P4,0.6,0.11842853513057,0.15891010988753873,0.07619307349213444,0.09072708535916549,0.2224231635164166,0.2634171693868374,0.17679387055931906,0.0683034542441133,0.2870288370765396,0.3352414182474791,0.2347358743698728,0.0337708612774268,0.3364185274338063,0.3607323641601625,0.3139661088434793,0.07943971396673885,5.0,7.0,2.0,3.5,4210.296700361863,5286.043003980198,2975.47979971924,2151.492607236667,7.138331419765418,10.653854460940309,3.9693720413233122,6.038321168900358,32.04119992326071,39.56808428634859,24.514315560172832,15.053768726175761,0.676643934019734,1.1454700926784245,0.3489845318530376,0.7781906094615436,9.683814338073331,10.731739466600747,8.742650892637775,2.204377056478198,40.46397468442996,48.52369487764739,32.40425449121253,16.119440386434857,6.433659893933587,7.270178302260177,5.4547866589479215,1.6730368166531786,2.0225429140330937,2.6551045565660076,1.3899812715001798,1.3612846545614876,9.78087967968074,10.428744318681193,9.16884409388458,1.3381736715709538,0.7341503865261917,0.75451523926646,0.7267926152516564,0.025411364642378448,6.362724910570497,7.218841247937544,5.372483150982469,1.7122326747340932,0.41539967644868636,0.495107368299891,0.31129081936163056,0.167230562939633,0.11028751638503365,0.17007480452519344,0.04768971410977545,0.1275328335330126,0.3436755514185541,0.49594961559362416,0.21495353849320195,0.1240452830665964,0.1052729188665337,0.13215518288283495,0.09106414500152049,0.0384896592957089,1.75,2.0,1.0,0.5,14518.607585484191,18422.202084841054,9731.932825670548,8717.04469934506,-0.08219419613522246,0.074851419302171,-0.36711507937165977,0.505719227324086,32.87189916517451,38.035305090841305,25.266457328132212,7.067572153358524,1.4179707330176485,2.4101932280361855,0.1463471844051023,1.9108459129897384,23.494991385685314,26.726543277961596,20.895349218365702,7.490769639112576,54.37854672868923,64.58503172163181,43.08742454043565,15.838330743506909,11.928126239671283,13.572453766500125,9.864951286365928,3.9983937685037594,0.4783886660838671,0.8426307506328181,0.07510151341642515,0.5428315797726251,5.9301475558151635,7.461549234124106,4.847060553687305,3.06274562896071,0.5574471214150111,0.6456185545516888,0.524897772497895,0.10857272924508554,11.785844897034622,13.569809992220502,9.789551193596933,3.8790238747842887,1.0,0.0,0.0,100.0
G01_ISY_P1,G01,ISY,P1,1.0,0.21013739163405604,0.2760890810759974,0.1404675850978875,0.07480208723418044,0.0624817162233839,0.0802463702605057,0.04581990663415385,0.0410417911543038,0.4114815895120779,0.4374466499345636,0.392696387843697,0.04946561149497345,0.29881541617793206,0.3261861425720421,0.264135784371422,0.07037041577400996,3.0,3.0,3.0,0.0,1220.758364218371,1584.0431581128637,864.58355957616,806.9309162917554,1.6136620815769893,2.34315861682994,0.638245677341337,1.1707324747910686,10.961457758731495,15.610312956585936,8.98380025061756,5.921610823415046,0.208961147836939,0.4391037563470126,-0.02969789511189055,0.6039845655664262,6.89036515154561,8.301521608196646,6.062389873266264,2.7662647369325883,17.844272144659666,22.41645380988886,13.601645542970985,8.086738564305294,3.4484979090691272,3.979412905012037,2.9266942841062344,1.1483718634101976,0.5293130723868172,0.9406552224836473,0.20174647973602516,0.5611253285448343,6.764150637123782,7.465944770572266,5.819758143816477,1.0710721360575413,0.619418534640928,0.6535206912090559,0.5754646171740809,0.05306873422087125,3.4346071968850675,3.9725634421337777,2.90286297890537,1.1756816476088778,0.4588608252981225,0.49777722658014645,0.4199444240160985,0.05455048013341985,0.025119162479548603,0.027520526780318452,0.0205302154531171,0.0041300565196871995,0.40366891928860416,0.43577200594018484,0.3790847317781947,0.046960738017963,0.08195282612972976,0.08788249357864525,0.0772781874088278,0.010303458388547699,1.0,1.0,1.0,0.0,6451.558117719924,7360.537078105526,5999.352645964755,407.9018627525716,0.3064520383512511,0.5758943038381021,-0.16109321990000655,0.16152696591185764,26.482968321811107,26.69585016530136,26.210878850349417,0.9679485680729546,1.8646125617366172,2.418604019541011,1.2839898643181067,0.6174632220061833,17.76132617298001,18.680333871742896,16.594069737105144,1.1235371704005717,35.598006808539836,36.01721820364756,35.17879541343212,1.267196118340749,7.9039248975926455,8.52319704985655,7.657734509905276,0.2824032004652106,0.9016661398527475,1.0531394730282604,0.6590680243096432,0.1224362044450602,3.9421119672307734,4.261513630427504,3.6932257036188982,0.2867176946614909,0.47270877777339626,0.4854279160700403,0.46728670252502924,0.017803643585232252,7.541846561889704,8.051099864270086,7.326751518666284,0.32620173286036014,0.0,1.0,0.0,91.0
G01_ISY_P2,G01,ISY,P2,3.0,0.21978653387379865,0.31085591665156215,0.09585643073509675,0.056612754818074804,0.22007648512311911,0.24735220076643016,0.14072680588571035,0.05885934013895955,0.22244528805116814,0.2503907571683225,0.20146232803144204,0.03328745238707735,0.2947187176907194,0.3418366916823208,0.26486139544372866,0.11522084294810414,2.5,4.0,1.0,2.0,3903.3232441487016,4610.882492513946,2800.9745033285985,1508.1602728589282,7.046482544340061,11.615519813959267,2.7215645955248347,8.439148354663324,26.08396053367167,31.850882416501072,23.596023721693033,15.414518368893237,0.982909757781305,1.2221071904314422,0.8404877363263454,0.3968024677912258,12.891572254205506,13.943689737595161,10.439428798499705,3.527669603504809,33.36657530835841,38.80393312331312,29.501763792292166,14.403913313666056,6.140556646150403,6.785899140960982,5.285926598732636,1.5490673037379237,2.198931639803637,3.000886776715051,1.576506823835047,1.2562108925274045,9.118754587520286,11.152229260342404,8.073435160956159,1.153602629092508,0.6994372335555068,0.7500557174933764,0.6778935506284325,0.06316475565006224,5.891943522405294,6.690387465226943,5.067755607440533,1.3844711507740795,0.3595778405435664,0.3767319416042578,0.330202645556088,0.04241866126148595,0.0455318239548813,0.0501185031072107,0.041078700068339205,0.0096253006062431,0.40142517299814884,0.4082662886663026,0.394584057329995,0.01199622671589255,0.1370806489741843,0.1504601693156088,0.11732254323336119,0.021418974847060047,2.0,2.0,2.0,0.0,9561.699261233496,9957.216790999177,9355.189649192027,526.499908425198,0.60651939900903,0.7122356537873189,0.500803144230741,0.31673752505167996,32.29121859291827,32.43232861174601,32.249376951041484,1.2441179411471381,2.1012177105833474,2.1892913048778,1.8493880418804964,0.30410509959421517,21.60483129917014,21.743171876825393,20.750733094575356,1.2666660595345558,44.55795136628943,46.328636815749555,42.85903643647501,2.3991161073312615,9.72790796305266,9.938946611746285,9.622618691218436,0.288639187067091,0.9602263373632306,1.0011390172969115,0.9273998724311304,0.12032136430509285,4.860881752218042,5.118085214715608,4.728534112293188,0.3663390705246554,0.5582887174936164,0.5635054465238576,0.5530478497246823,0.0157392570552016,9.360510436141885,9.682280369750654,9.26729424076926,0.31466598535761564,0.0,1.0,0.0,91.0
G01_ISY_P3,G01,ISY,P3,3.0,0.1443741367322474,0.19390132443490982,0.04846233435401265,0.04717245304635285,0.21164562706055426,0.25582650051293254,0.19988657645751295,0.06929058992747254,0.20184411767256855,0.22847888977455538,0.16892273232340987,0.04709552003980645,0.41206083908806307,0.4665369567275338,0.3725544714580245,0.054471805127691245,6.75,11.5,1.0,3.5,8237.767185748431,10694.630242565592,4348.759844213884,3177.901769371098,9.14648717371862,14.511009016394205,2.206109110676472,10.909726390748524,49.202502754972095,65.97736462179736,32.16075140201785,31.08316981256034,1.5108727238465454,1.9787491775164456,0.8456255581313101,0.8491106593931297,16.12062729958061,17.941349922415423,14.021323745161137,4.232506254507949,59.058857597862925,77.45251204909272,40.64268207203262,26.90252871051936,8.854099866908857,10.32835261481052,6.588945992314368,2.5821129330859183,2.3986193571690393,3.4039503214651314,1.5503125062433643,1.7706936428036262,10.898841142983756,11.621224892608819,9.658879964252492,1.0519237615418335,0.7223374805596099,0.7550715898893767,0.6990255616391668,0.061291114999441246,8.65416481123191,10.160450195627995,6.363310671806225,2.424695745893654,0.41431409400840974,0.43689943522846525,0.3613556861380246,0.0477093472695949,0.044399124866746,0.047885332134721306,0.041345979887486645,0.008340562024256499,0.3918749594164114,0.4533664233433533,0.3532412070341462,0.028775959345007797,0.12248876396260966,0.16152569612466405,0.10274824112225114,0.024117342836853448,1.25,1.5,1.0,0.0,17999.539081133917,20670.460283818902,14562.655448108657,2579.686049678563,0.6449413011166805,0.9994228993774563,0.6023019566558643,0.642264864501813,40.454368090103046,44.0054955345074,37.964543061564235,3.158020212651518,1.1489730457868834,2.1486813545542254,0.271709390923908,1.5119657649122842,25.556955867625405,27.703657552216864,22.09884561900457,3.182517706084612,63.78741445222225,69.76209257445686,51.95772563936494,4.376532382397599,13.382906961292685,14.374967998409398,12.057302375335647,0.9658196285481663,0.9054496698090928,1.0402853409710682,0.6572553922882176,0.33700183885313373,5.1710367445351935,5.547027341566338,4.824209164603194,0.5444451674041944,0.5653868871336535,0.5879892126667708,0.550833026412344,0.0264607351781059,13.371827023819662,14.368197767084418,11.785540588377998,0.9689365257593384,0.0,1.0,0.0,100.0
G01_ISY_P4,G01,ISY,P4,2.0,0.1784993357999662,0.2484639023284275,0.0753972178789196,0.1255172493661739,0.161888809988621,0.2025181513395229,0.1128920819412184,0.0806158650490494,0.2282785028852014,0.2612263765629872,0.1951747619937587,0.0587658116465696,0.4332825558220626,0.4772052417008257,0.3846172933866712,0.0880987961114417,6.0,9.0,1.0,0.0,9103.803031719952,11240.9283209549,5783.416808013203,2735.536625211585,6.700591103266532,10.347735614213716,2.2681372407400198,7.85202781412133,44.306889206073954,55.33046659266127,27.76789226099327,20.12613953203619,1.3343184525257843,2.4763646755402324,0.7694675225746057,0.995764421798031,17.731639488642045,20.186799569357355,15.23399255505627,2.7518577848368637,55.26786513953536,64.01995440699451,42.58655053857506,12.053618278915444,9.37563132189348,10.602324424839535,7.604877913558641,1.4931497467006931,2.12226508865978,2.756581871455413,1.268828626822416,1.6692800275753743,8.807356524835946,9.950411397308072,7.800771407006862,1.8924556310170375,0.6779681410751897,0.7093589023535354,0.6491006706725876,0.0638059344451186,9.043686102385884,10.59591019761153,7.325725770141542,1.321101089310984,0.3646185296187921,0.3791467281814298,0.3500903310561545,0.0383396426939663,0.049268309363894,0.0511982695036733,0.0473383492241147,0.0055201867588928,0.4134222352848461,0.4265251725869037,0.4003192979827884,0.0262058746041153,0.168152169101271,0.1689134892600043,0.1673908489425377,0.0051470026340325,2.0,2.0,1.0,0.0,16878.99191197625,17017.84589142003,16740.137932532467,1389.635026236323,1.0925509631081023,1.326831599170987,0.5672730487335893,0.1656587278468442,44.34047380893363,45.060814209930335,43.620133407936926,1.8579934698799505,2.14558427824809,2.3716322665716687,2.0315305007268414,0.5289109556419689,27.571543435442408,27.57951482201016,27.563572048874654,0.6186956363755698,63.80219658373956,64.69268016031262,62.9117130071665,1.460614637135336,12.9918075488877,13.04524660227626,12.93836849549914,0.4390354775554694,1.1295892899468587,1.223187791700441,1.0359907881932766,0.1393253004440067,5.40895375281244,5.509662060430176,5.26026353108153,0.1993634966328255,0.5839389845050837,0.5886764258331671,0.5775455722488306,0.0090817729787143,12.462056336997914,12.493678320647165,12.430434353348664,0.4934020043268656,0.0,1.0,0.0,100.0
G01_MTB_P1,G01,MTB,P1,2.0,0.18342889993655154,0.25044630700280557,0.14343848698651002,0.1019016512390887,0.2756203561951513,0.3236263488367864,0.21323635279466044,0.08726684880204574,0.2575576968086659,0.31024779709914324,0.2048675965181886,0.11902619220190305,0.2585667212169722,0.26416212403378914,0.22152197674842333,0.09123670231174585,2.75,4.0,1.5,2.0,1689.405102361866,2468.540601244313,745.4979146529458,2001.4461137769738,6.529024907474225,12.556092228955393,1.3425266328994625,11.801527586556498,17.96144666202685,25.101835239624677,10.504320657267641,15.631096054492062,0.6145207951230856,1.0986329091180196,0.03958220739218405,0.9939344094470288,7.082458584288759,8.823899576790577,5.161012382845366,4.712011115712738,22.196129118570667,29.418287415608056,15.394216191188324,18.65479307776758,3.9875619352785927,4.965314575528997,2.7302677249558176,2.9570209476328113,1.855368901557581,3.097713529523447,0.640491802569687,2.37196935269646,10.389841464557104,11.24826105801168,9.470763465829084,1.3031532481509993,0.7232423022150009,0.7489684301744344,0.6990549540469053,0.059862318729716146,3.8641587004665716,4.857941667637933,2.6679916848839946,2.865930998609306,0.3171440520928872,0.43734667889626855,0.23199177939591564,0.12311363809605515,0.07354696289750026,0.08594689520591015,0.0514776311501939,0.0317286254795919,0.4244453594488664,0.5008974387221784,0.3597271846926182,0.08162774486652796,0.1434106628501382,0.17484848253851154,0.09212777230671934,0.059092149439779154,2.5,3.5,1.0,1.5,11091.460531462417,17117.79369092694,5065.1273719978935,11902.162179765268,0.8008516082588347,1.3883702124321147,0.3416064264507739,1.607889379826641,36.620077389092785,51.443713729372575,20.427843612332957,27.248720479806078,1.7429473242473736,2.7871452880479035,0.5784111739814382,2.2151285118848345,19.55321946110937,24.37589128086813,14.491557338025174,11.567726497412437,48.92039325527761,66.23725867682222,32.652069585916195,32.19137867623067,10.053116838110483,12.99002149682272,7.11621217939825,5.599703966908283,0.9502213457907371,1.1045517965783476,0.6295281717560937,0.510865965123752,5.7136603031869555,6.151959479613964,4.7775270472132245,1.0922721106338877,0.580110131180419,0.6290283976238547,0.5578530398012942,0.06139356300890665,9.723065354901916,12.343922984214581,7.102207725589253,5.241715258625328,0.0,0.0,1.0,91.0
G01_MTB_P2,G01,MTB,P2,3.0,0.2840616840566469,0.3748256353328254,0.1572180764590323,0.1744743872829766,0.2466746674253302,0.2936304375412457,0.2331181531796151,0.0791691366518468,0.2344249307603322,0.3198154209819934,0.1648190287510074,0.123814480128809,0.2056805340191847,0.245979220618488,0.1653818474198814,0.0805973731986066,2.0,3.0,1.0,1.0,3956.331322301218,6727.829560209792,1184.8330843926444,5542.996475817148,9.6213056911339,17.27534565312512,0.8425928830828564,10.75150798176358,31.7341349405222,50.232717879637455,13.237554597211174,27.519635853455085,0.723030800868177,1.2478891973043942,0.1402258145435419,1.2002621735394017,9.750936452339268,13.10544931321373,6.588025181598327,5.580500356024968,40.24458209521315,59.74710744774673,20.6210051816876,39.00505070506717,5.822237605211167,8.202334765302982,3.442140445119351,4.790342996753012,2.1368429726656584,3.562744627577175,0.9999848646152912,2.273716216100734,10.000759314699469,11.35987680170155,9.314850632768213,2.7177248467054067,0.7347538517200258,0.7612151539363334,0.7064159925920446,0.0384093422849226,5.7674269393572,8.094908166322856,3.4399457123915425,4.066697016933632,0.3390105040258232,0.3942077894507676,0.2365977777750516,0.1696899062448336,0.0675023375713138,0.0817057780637765,0.0511300064545015,0.0343257402813155,0.4022875059698649,0.5103227007120856,0.3567944848969119,0.0987876967778629,0.109283419925485,0.1269151715743462,0.0885074665185002,0.0434297057364188,3.0,5.0,1.0,2.0,8096.557514745938,8489.483791303674,4801.590824397576,5787.667833214807,0.5425747775022176,1.3759479855541938,-0.0788447338207767,1.0308365981143317,28.432984760191964,34.78216453853532,22.496730438703235,12.215092150165937,1.180211906952541,1.568760550698402,-0.1110586723034462,1.4803503734422656,19.176841680064207,20.412901410778804,13.184789528374552,10.673791460203,41.98051501579755,55.92702666785034,34.10324540835542,21.82378125949492,8.995436355386413,9.21383947727747,6.929351213784431,4.027753712450255,0.4417353787119483,0.8319100894477177,0.1429515644668409,0.2822583791616974,5.311443658651038,6.583146590089276,4.49690283741826,1.0837580467512669,0.5667215199077646,0.6217778138678226,0.5194247240366654,0.0654168933554872,8.764300259280144,9.063853076257876,6.886902269181093,4.010885794800868,0.0,0.0,1.0,91.0
