group,n_runs,mae_bar,rmse_bar,max_abs_error_bar
G01,12,0.24675705450987975,0.32457468222534236,0.7871615107334713
G02,12,0.2531526208444735,0.3206139747146006,0.8118448201401733
G03,12,0.3206853433660331,0.43123366276648384,0.8937166778813652
G04,12,0.31199392016978006,0.42938284394481024,1.121292711605899
G05,12,0.2930479577470037,0.3722987354393568,0.7029485603503574
G06,12,0.3145367523389047,0.4314222005970262,1.085170727834853
