bike,n_runs,mae_bar,rmse_bar,max_abs_error_bar,mean_window_pred_std
FAT,24,0.135545236559891,0.15329984903909377,0.255333407581834,0.08230856181761166
ISY,24,0.20283505204735164,0.2805048579487536,0.8937166778813652,0.3770855678914527
MTB,24,0.5317065358807948,0.5911167267056117,1.121292711605899,0.43615313566649583
