run_id,fold,bike,group,actual_pressure_bar,pred_pressure_bar,abs_error_bar,n_windows,pred_pressure_window_std
G04_MTB_P4,G04,MTB,G04,1.0,2.121292711605899,1.121292711605899,12,0.4616246673973581
G06_MTB_P4,G06,MTB,G06,1.0,2.085170727834853,1.085170727834853,10,0.3659184640149589
G03_ISY_P2,G03,ISY,G03,3.0,2.106283322118635,0.8937166778813652,15,0.6899243707951348
G03_MTB_P4,G03,MTB,G03,1.0,1.844726497328656,0.8447264973286561,11,0.5495365014890641
G02_MTB_P1,G02,MTB,G02,2.0,2.8118448201401733,0.8118448201401733,10,0.4161924867616516
G01_MTB_P2,G01,MTB,G01,3.0,2.2128384892665287,0.7871615107334713,13,0.4503793112167961
G05_MTB_P4,G05,MTB,G05,1.0,1.7029485603503574,0.7029485603503574,11,0.4780077473459018
G05_MTB_P1,G05,MTB,G05,2.0,2.634867931836591,0.6348679318365908,12,0.2283763426495284
G06_MTB_P1,G06,MTB,G06,2.0,2.619593741154161,0.6195937411541612,10,0.2910883335823067
G03_MTB_P2,G03,MTB,G03,3.0,2.397168062237652,0.6028319377623479,13,0.5489584826855436
G04_MTB_P2,G04,MTB,G04,3.0,2.4138088652338325,0.5861911347661675,13,0.465174479200676
G01_MTB_P3,G01,MTB,G01,3.0,2.416359471467477,0.5836405285325226,12,0.5475040968630803
G05_MTB_P3,G05,MTB,G05,3.0,2.504512593674316,0.4954874063256844,10,0.6283564967784891
G06_MTB_P3,G06,MTB,G06,3.0,2.5376447872964194,0.4623552127035806,11,0.3516174177595015
G06_ISY_P4,G06,ISY,G06,2.0,2.4543387043771467,0.4543387043771467,11,0.4985960881355585
